model,method,level,comp_ratio,intermediate_budget,working_max,final_budget,ratio,ctx_len,true_len,prefill_status,prefill_peak_gb,answer_peak_gb,cache_gb,num_compactions,num_segments,peak_phys_ctx,acc
llama3.2-3b,kvzip,per_token,0.6,2048,4096,8192,0.6,64000,63999,ok,14.906808832,11.037208064,4.4,,,,0.0
llama3.2-3b,kvzip,per_token,0.6,2048,4096,8192,0.6,96000,95999,oom,18.426978816,,,,,,
llama3.2-3b,ours,per_token,0.8,6399,8192,6399,,8000,7999,ok,11.275902976,7.257306624,0.7,1,0,7999,1.0
llama3.2-3b,ours,per_token,0.8,6554,8192,12799,,16000,15999,ok,11.778915328,7.700963328,1.2,1,1,12287,1.0
llama3.2-3b,ours,per_token,0.8,6554,8192,25599,,32000,31999,ok,12.70620672,8.896997888,2.4,2,2,20529,0.0
llama3.2-3b,ours,per_token,0.8,6554,8192,51199,,64000,63999,ok,14.797428736,10.612524544,4.1,5,5,38502,0.0
llama3.2-3b,ours,per_token,0.8,6554,8192,76799,,96000,95999,ok,17.345964544,13.582582784,7.0,9,9,60777,0.0
llama3.2-3b,ours,per_token,0.8,6554,8192,95999,,120000,119999,oom,18.863138816,,,,,,
llama3.2-3b,kvzip,per_token,0.8,2048,4096,8192,0.8,8000,7999,ok,8.455285248,7.224545792,0.7,,,,1.0
llama3.2-3b,kvzip,per_token,0.8,2048,4096,8192,0.8,16000,15999,ok,9.378290176,7.975790592,1.5,,,,1.0
llama3.2-3b,kvzip,per_token,0.8,2048,4096,8192,0.8,32000,31999,ok,11.219101184,9.481435136,2.9,,,,0.0
llama3.2-3b,kvzip,per_token,0.8,2048,4096,8192,0.8,64000,63999,ok,14.906808832,12.507762176,5.9,,,,0.0
llama3.2-3b,kvzip,per_token,0.8,2048,4096,8192,0.8,96000,95999,oom,18.426978816,,,,,,
llama3.2-3b,ours,per_token,1.0,7999,12095,7999,,8000,7999,ok,11.275902976,7.445228032,0.9,0,0,7999,1.0
llama3.2-3b,ours,per_token,1.0,15999,20095,15999,,16000,15999,ok,12.204417024,8.374043648,1.8,0,0,15995,1.0
llama3.2-3b,ours,per_token,1.0,31999,36095,31999,,32000,31999,ok,14.043978752,10.235075584,3.7,0,0,31978,0.0
llama3.2-3b,ours,per_token,1.0,63999,68095,63999,,64000,63999,ok,17.730428416,13.969759232,7.3,0,0,63977,0.0
llama3.2-3b,ours,per_token,1.0,95999,100095,95999,,96000,95999,oom,19.57963776,,,,,,
llama3.2-3b,kvzip,per_token,1.0,2048,4096,8192,1.0,8000,7999,ok,8.455285248,7.399922176,0.9,,,,1.0
llama3.2-3b,kvzip,per_token,1.0,2048,4096,8192,1.0,16000,15999,ok,9.378290176,8.338150912,1.8,,,,1.0
llama3.2-3b,kvzip,per_token,1.0,2048,4096,8192,1.0,32000,31999,ok,11.219101184,10.21721344,3.7,,,,0.0
llama3.2-3b,kvzip,per_token,1.0,2048,4096,8192,1.0,64000,63999,ok,14.906808832,13.976720896,7.3,,,,0.0
llama3.2-3b,kvzip,per_token,1.0,2048,4096,8192,1.0,96000,95999,oom,18.426978816,,,,,,
